,Single_1,OS,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,128GB 8GB RAM,Display,Talk time,32GB 2GB RAM,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Dual,Single,2G bands,Resolution,128GB 4GB RAM,Announced,Technology,_1,SAR,GPU,Battery (new),Model Image,Size,Model Name,256GB 6GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,SAR EU,_2,SIM,Triple,Infrared port,Battery (old),Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,Games,Quad,Weight,WLAN,Video,Speed,NFC,Build,_5,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,3G bands,Video_1,_4,Sensors
CDMA 800,,"Android 13, Realme UI 4.0",No,,Qualcomm SM7475-AB Snapdragon 7+ Gen 2 (4 nm),,"Available. Released 2023, April 11","HDR, panorama",,,,,,,,,,No,100W wired,"1, 3, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",,,,About 270 EUR,24-bit/192kHz Hi-Res audio,,"16 MP, f/2.5, 25mm (wide), 1/3.09"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1240 x 2772 pixels, 20:9 ratio (~451 ppi density)",,"2023, April 03",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,CDMA2000 1x,,Adreno 725,,https://fdn2.gsmarena.com/vv/bigpic/realme-gt-neo5-se.jpg,"6.74 inches, 109.2 cm2(~87.9% screen-to-body ratio)",Realme GT Neo5 SE,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,5500 mAh,,"LED flash, HDR, panorama",Octa-core (1x2.91 GHz Cortex-X2 & 3x2.49 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),,UFS 3.1,Nano-SIM + Nano-SIM,"64 MP, f/1.8, 25mm (wide), 1/2.0"", PDAF8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/3.3, (microscope)",Yes,,No,,,163.9 x 75.8 x 9 mm (6.45 x 2.98 x 0.35 in),,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM",USB Type-C 2.0,"RMX3700, RMX3701",,"Yes, with stereo speakers","5.2, A2DP, LE, aptX HD",,,193.1 g (6.81 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4K@30fps, 1080p@30fps","HSPA, LTE, 5G",Yes,,,Realme,,,,"Black, Gradient","OLED, 1B colors, 144Hz, 1400 nits (peak)",,HSDPA 800 / 850 / 900 / 1900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
UFS 2.2,,"Android 12, Realme UI 3.0",Yes,,Mediatek Dimensity 810 (6 nm),,"Available. Released 2023, March 23","HDR, panorama",,,,,,,,,,No,18W wired,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66",,,,About 200 EUR,,,"8 MP, f/2.0, 27mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",,"2023, March 21",GSM / HSPA / LTE / 5G,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-10t.jpg,"6.6 inches, 104.9 cm2(~85.0% screen-to-body ratio)",Realme 10T,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA","GPS, GLONASS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAFUnspecified MP, f/2.8, 46mm (telephoto)2 MP, f/2.4, (macro)",,,microSDXC (dedicated slot),,,164.4 x 75.1 x 8.1 mm (6.47 x 2.96 x 0.32 in),,"128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG",,,Yes,"5.2, A2DP, LE",,,187 g (6.60 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE, 5G",No,,,Realme,,,,"Electric Black, Dash Blue","IPS LCD, 90Hz, 400 nits (typ)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
UFS 2.2,,"Android 12, Realme UI S",Yes,,Unisoc Tiger T612 (12 nm),,"Available. Released 2023, March 14",HDR,,,,,,,,,,Unspecified,10W wired,"1, 3, 5, 8, 38, 40, 41",,,,About 110 EUR,,"50 MP, (wide), PDAF0.3 MP, f/2.8, (depth)","5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2023, March 14",GSM / HSPA / LTE,,,Mali-G57,,https://fdn2.gsmarena.com/vv/bigpic/realme-c33.jpg,"6.5 inches, 102.0 cm2(~82.1% screen-to-body ratio)",Realme C33 2023,,,,,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,164.2 x 75.7 x 8.3 mm (6.46 x 2.98 x 0.33 in),,"64GB 4GB RAM, 128GB 4GB RAM",microUSB 2.0,RMX3627,,Yes,"5.0, A2DP, LE",,,187 g (6.60 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Sandy Gold, Aqua Blue, Night Sea","IPS LCD, 400 nits (typ)",,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity"
,,"Android 13, Realme UI 4.0",Yes,-31.8 LUFS (Below average),Mediatek MT6769H Helio G88 (12 nm),,"Available. Released 2023, March 08","HDR, panorama",,"1264:1 contrast ratio, 659 nits max brightness (measured)",,,"₹ 11,329",€ 208.89,,,,No,"33W wired, 50% in 29 min","1, 3, 5, 8, 38, 40, 41",Photo/Video,,"₹ 7,999","€ 208.89 / $ 275.00 / ₹ 7,999",,"64 MP, (wide), 1/2.0"", PDAF2 MP, (depth)","8 MP, (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,"2023, March 07",GSM / HSPA / LTE,,,Mali-G52 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-c55.jpg,"6.72 inches, 109.0 cm2(~86.7% screen-to-body ratio)",Realme C55,,,,,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,Endurance rating 123h,microSDXC (dedicated slot),,,165.6 x 75.9 x 7.9 mm (6.52 x 2.99 x 0.31 in),,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",USB Type-C 2.0,RMX3710,,Yes,"5.2, A2DP, LE",,,189.5 g (6.70 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30/60fps,"HSPA, LTE","Yes, 360˚ (market/region dependent)","Glass front, plastic frame, plastic back",,Realme,,,,"Sun Shower, Rainy Night, Rainforest","IPS LCD, 90Hz, 680 nits (peak)","AnTuTu: 257263 (v9)GeekBench: 1452 (v5.1), 1413 (v6)GFXBench: 9fps (ES 3.1 onscreen)",HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
CDMA 800,,"Android 13, Realme UI 4.0",No,,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),,"Available. Released 2023, February 09","HDR, panorama",,,,,,,,,,No,"240W wired, 50% in 4 min, 100% in 10 min","1, 3, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",,,,About 440 EUR,UFS 3.1,,"16 MP, f/2.5, 25mm (wide), 1/3.09"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1240 x 2772 pixels, 20:9 ratio (~451 ppi density)",,"2023, February 09",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,Adreno 730,,https://fdn2.gsmarena.com/vv/bigpic/realme-gt-neo5-240w.jpg,"6.74 inches, 109.2 cm2(~87.9% screen-to-body ratio)",Realme GT Neo 5 240W,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,4600 mAh,,"Dual-LED dual-tone flash, HDR, panorama",Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,Illuminated RGB (on the back),Nano-SIM + Nano-SIM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/3.3, 20mm (microscope)",Yes,,No,,,163.9 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),,"256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",USB Type-C 2.0,RMX3708,,"Yes, with stereo speakers","5.3, A2DP, LE, aptX HD",,,199 g (7.02 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4K@30/60fps, 1080p@30/60fps, gyro-EIS","HSPA, LTE, 5G",Yes (dual side),,,Realme,,,,"Purple, Black, White","AMOLED, 1B colors, 144Hz, HDR10+, 1400 nits (peak)",,HSDPA 800 / 850 / 900 / 1900 / 2100,"1080p@30fps, gyro-EIS",24-bit/192kHz Hi-Res audio,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 13, upgradable to Android 14, Realme UI 5.0",No,,Qualcomm SM8475 Snapdragon 8+ Gen 1 (4 nm),,"Available. Released 2023, February 09","HDR, panorama",,,,,,,,,,No,150W wired,"1, 3, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",,,,About 340 EUR,UFS 3.1,,"16 MP, f/2.5, 25mm (wide), 1/3.09"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1240 x 2772 pixels, 20:9 ratio (~451 ppi density)",,"2023, February 09",GSM / CDMA / HSPA / EVDO / LTE / 5G,CDMA2000 1xEV-DO,,Adreno 730,,https://fdn2.gsmarena.com/vv/bigpic/realme-gt-neo5.jpg,"6.74 inches, 109.2 cm2(~87.9% screen-to-body ratio)",Realme GT Neo 5,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",,5000 mAh,,"Dual-LED dual-tone flash, HDR, panorama",Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),,Illuminated RGB (on the back),Nano-SIM + Nano-SIM,"50 MP, f/1.9, 24mm (wide), 1/1.56"", 1.0µm, PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/3.3, 20mm (microscope)",Yes,,No,,,163.9 x 75.8 x 8.9 mm (6.45 x 2.98 x 0.35 in),,"256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM",USB Type-C 2.0,RMX3706,,"Yes, with stereo speakers","5.3, A2DP, LE, aptX HD",,,199 g (7.02 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4K@30/60fps, 1080p@30/60fps, gyro-EIS","HSPA, LTE, 5G",Yes (dual side),,,Realme,,,,"Purple, Black, White","AMOLED, 1B colors, 144Hz, HDR10+, 1400 nits (peak)",,HSDPA 800 / 850 / 900 / 1900 / 2100,"1080p@30fps, gyro-EIS",24-bit/192kHz Hi-Res audio,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
,,"Android 12, Realme UI 3.0",Yes,,Mediatek,,"Available. Released 2023, March 20",,,,,,,,,,,No,,LTE,,,,About 150 EUR,,"13 MP, (wide), AF0.3 MP, f/2.8, (depth)",5 MP (wide),GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2023, February 09",GSM / HSPA / LTE / 5G,,,,,https://fdn2.gsmarena.com/vv/bigpic/realme-v30.jpg,"6.5 inches, 102.0 cm2",Realme V30,,,,SA/NSA,Yes,,5000 mAh,,"LED flash, HDR, panorama",,,,Nano-SIM + Nano-SIM,,,,microSDXC,,,8.1 mm thickness,,"128GB 6GB RAM, 128GB 8GB RAM",USB Type-C 2.0,,,Yes,Yes,,,186 g (6.56 oz),Yes,1080p@30fps,"HSPA, LTE, 5G",Unspecified,"Glass front, plastic frame, plastic back",,Realme,,,,"Black, Gold","IPS LCD, 600 nits",,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity"
CDMA 800,,"Android 12, Realme UI 3.0",Yes,,Mediatek Dimensity 810 (6 nm),,"Available. Released 2022, December 20","HDR, panorama",,,,,,,,,,No,"33W wired, 50% in 33 min","1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 34, 38, 39, 40, 41",,,,About 150 EUR,,"50 MP, f/1.8, (wide), PDAF0.3 MP, f/2.8, (depth)","8 MP, f/2.0, 27mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",,"2022, December 16",GSM / CDMA / HSPA / LTE / 5G,UFS 2.2,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-10s-5g.jpg,"6.6 inches, 104.9 cm2(~85.0% screen-to-body ratio)",Realme 10s,,,,"1, 5, 8, 28, 41, 77, 78 SA/NSA","GPS, GLONASS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,24-bit/192kHz Hi-Res audio,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,164.4 x 75.1 x 8.1 mm (6.47 x 2.96 x 0.32 in),,"128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG",,,Yes,"5.2, A2DP, LE",,,191 g (6.74 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE, 5G",No,,,Realme,,,,"Black, Blue","IPS LCD, 90Hz, 400 nits (typ)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
,,"Android 12, ColorOS 12",Yes,,Mediatek Dimensity 700 (7 nm),,"Available. Released 2022, June 13",HDR,,,,,,,,,,No,10W wired,LTE,,,,About 160 EUR,,"13 MP, (wide), PDAF0.3 MP, f/2.8, (depth)","5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2022, June 13",GSM / HSPA / LTE / 5G,,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-v20.jpg,"6.5 inches, 102.0 cm2(~82.6% screen-to-body ratio)",Realme V20,,,,SA/NSA,Yes,,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,164.4 x 75.1 x 8.1 mm (6.47 x 2.96 x 0.32 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM",USB Type-C 2.0,RMX3611,,Yes,Yes,,,184 g (6.49 oz),Yes,1080p@30fps,"HSPA, LTE, 5G",Unspecified,"Glass front, plastic frame, plastic back",,Realme,,,,"Black, Blue","IPS LCD, 400 nits (typ)",,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity"
CDMA 800,,"Android 13, Realme UI 4.0",No,-25.4 LUFS (Very good),Mediatek Dimensity 1080 (6 nm) - version 1Mediatek Dimensity 920 (6 nm) - version 2,,"Available. Released 2022, November 24",Panorama,"₹ 15,999",809 nits max brightness (measured),,,,,,,,No,"67W wired, PD3.0, 50% in 17 min","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International",Photo/Video,,,"₹ 15,999","1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA",,"16 MP, f/2.5, 25mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,"2022, November 17",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,CDMA2000 1x,,Mali-G68 MC4 - version 1Mali-G68 MC4 - version 2,,https://fdn2.gsmarena.com/vv/bigpic/realme-10-pro-plus.jpg,"6.7 inches, 108.0 cm2(~90.5% screen-to-body ratio)",Realme 10 Pro+,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International","GPS (L1+L5), GALILEO, GLONASS, BDS, QZSS","₹ 20,990",5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) - version 1Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) - version 2,,"1, 3, 5, 7, 8, 19, 28, 34, 38, 39, 40, 41",Nano-SIM + Nano-SIM,"108 MP, f/1.8, 24mm (wide), 1/1.67"", 0.64µm, PDAF8 MP, f/2.2, 16mm, 112˚ (ultrawide)2 MP, f/2.4, (macro)",,Endurance rating 149h,No,,,161.5 x 73.9 x 7.8 mm or 8 mm,,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",USB Type-C 2.0,"RMX3687, RMX3686",,"Yes, with stereo speakers","5.2, A2DP, LE, aptX HD",,,173 g / 175 g (6.10 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS","HSPA, LTE, 5G",Yes (market/region dependent),"Glass front, plastic frame, plastic back",,Realme,,,,"Dark Matter Black, Nebula Blue, Hyperspace","AMOLED, 1B colors, HDR10+, 120Hz, 800 nits",AnTuTu: 522376 (v9)GeekBench: 2371 (v5.1)GFXBench: 23fps (ES 3.1 onscreen),HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,24-bit/192kHz Hi-Res audio,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
CDMA 800,,"Android 13, upgradable to Android 14, Realme UI 5.0",Yes,-24.4 LUFS (Very good),Qualcomm SM6375 Snapdragon 695 5G (6 nm),,"Available. Released 2022, November 24",Panorama,$ 525.00,"1255:1 contrast ratio, 619 nits max brightness (measured)",,,,,,,,No,"33W wired, 50% in 29 min","1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 34, 38, 39, 40, 41",Photo/Video,,,"$ 525.00 / ₹ 10,999",24-bit/192kHz Hi-Res audio,"108 MP, f/1.8, 24mm (wide), 1/1.67"", 0.64µm, PDAF2 MP, f/2.4, (depth)","16 MP, f/2.5, 25mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,"2022, November 17",GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,CDMA2000 1x,,Adreno 619,,https://fdn2.gsmarena.com/vv/bigpic/realme-10-pro.jpg,"6.72 inches, 109.0 cm2(~89.8% screen-to-body ratio)",Realme 10 Pro,,,,"1, 5, 8, 28, 41, 77, 78 SA/NSA","GPS, GALILEO, GLONASS, BDS","₹ 10,999",5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),,UFS 2.2,Nano-SIM + Nano-SIM,,,Endurance rating 127h,microSDXC (uses shared SIM slot),,,163.7 x 74.2 x 8.1 mm or 8.3 mm,,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",USB Type-C 2.0,"RMX3663, RMX3660, RMX3661",,"Yes, with stereo speakers","5.1, A2DP, LE",,,190 g / 192 g (6.70 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE, 5G",Yes (market/region dependent),"Glass front, plastic frame, plastic back",,Realme,,,,"Dark Matter, Hyperspace Gold, Nebula Blue, Coca-Cola edition","IPS LCD, 120Hz, 600 nits (typ), 680 nits (peak)",AnTuTu: 401860 (v9)GeekBench: 2021 (v5.1)GFXBench: 16fps (ES 3.1 onscreen),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
UFS 2.2,,"Android 12, Realme UI 3.0",Yes,,Mediatek Dimensity 700 (7 nm),,"Available. Released 2022, November 11","HDR, panorama",,,,,,,,,,No,"33W wired, 50% in 30 min","1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 34, 38, 39, 40, 41",,,,About 180 EUR,,,"8 MP, f/2.0, 27mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",,"2022, November 11",GSM / HSPA / LTE / 5G,24-bit/192kHz Hi-Res audio,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-10-5g.jpg,"6.6 inches, 104.9 cm2(~85.0% screen-to-body ratio)",Realme 10 5G,,,,"1, 5, 8, 28, 41, 77, 78 SA/NSA","GPS, GLONASS, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAFUnspecified MP, f/2.8, 46mm (telephoto)2 MP, f/2.4, (macro)",,,microSDXC (dedicated slot),,,164.4 x 75.1 x 8.1 mm (6.47 x 2.96 x 0.32 in),,"128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG",RMX3663,,Yes,"5.2, A2DP, LE",,,191 g (6.74 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE, 5G",No,,,Realme,,,,"Black, Gold","IPS LCD, 90Hz, 400 nits (typ)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
UFS 2.2,,"Android 12, Realme UI 3.0",Yes,-24.9 LUFS (Very good),Mediatek Helio G99 (6 nm),,"Available. Released 2022, November 11","HDR, panorama",€ 234.99,610 nits max brightness (measured),,,,$ 369.00,,,,No,"33W wired, 50% in 28 min",LTE,Photo/Video,,"₹ 9,999","€ 234.99 / $ 369.00 / ₹ 9,999",,"50 MP, f/1.8, 27mm (wide), 1/2.76"", PDAF2 MP, f/2.4, (depth)","16 MP, f/2.5, 27mm (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~411 ppi density)",,"2022, November 09",GSM / HSPA / LTE,24-bit/192kHz Hi-Res audio,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-10.jpg,"6.4 inches, 98.9 cm2(~84.4% screen-to-body ratio)",Realme 10,,,,,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,Endurance rating 126h,microSDXC (dedicated slot),Corning Gorilla Glass 5,,159.9 x 73.3 x 8 mm (6.30 x 2.89 x 0.31 in),,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG",RMX3630,,Yes,"5.3, A2DP, LE, aptX HD, aptX Adaptive",,,178 g (6.28 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",Yes (market/region dependent),"Glass front (Gorilla Glass 5), plastic frame, plastic back",,Realme,,,,"White, Blue","Super AMOLED, 90Hz, 1000 nits (peak)",AnTuTu: 385829 (v9)GeekBench: 1762 (v5.1)GFXBench: 17fps (ES 3.1 onscreen),HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
,"5 MP, (wide), 1/5.0"", 1.12µm","Android 12, Realme UI Go",Yes,,,,"Available. Released 2022, September 23",HDR,,,,,,,,,,Unspecified,10W wired,"1, 3, 5, 8, 38, 40, 41",,,,About 100 EUR,,,"8 MP, (wide), 1/4.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2022, September 14",GSM / HSPA / LTE,,,IMG8322,,https://fdn2.gsmarena.com/vv/bigpic/realme-c30s.jpg,"6.5 inches, 102.0 cm2(~82.1% screen-to-body ratio)",Realme C30s,,,,,"GPS, GLONASS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core 1.6 GHz Cortex-A55,,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,164.2 x 75.7 x 8.5 mm (6.46 x 2.98 x 0.33 in),,"32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG",RMX3690,,Yes,"4.2, A2DP",,,186 g (6.56 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,,,,"Stripe Blue, Stripe Black",IPS LCD,,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity"
UFS 2.2,,"Android 12, Realme UI S",Yes,,Unisoc Tiger T612 (12 nm),,"Available. Released 2022, September 12",HDR,,,,,,,,,,Unspecified,10W wired,"1, 3, 5, 8, 38, 40, 41",,,"₹ 6,499","₹ 6,499",,"50 MP, (wide), PDAF0.3 MP, f/2.8, (depth)","5 MP, f/2.2, 27mm (wide), 1/5.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,"2022, September 06",GSM / HSPA / LTE,,,Mali-G57,,https://fdn2.gsmarena.com/vv/bigpic/realme-c33.jpg,"6.5 inches, 102.0 cm2(~82.1% screen-to-body ratio)",Realme C33,,,,,"GPS, GLONASS, GALILEO, BDS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),,,164.2 x 75.7 x 8.3 mm (6.46 x 2.98 x 0.33 in),,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",microUSB 2.0,RMX3624,,Yes,"5.0, A2DP, LE",,,187 g (6.60 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA, LTE",No,"Glass front, plastic frame, plastic back",,Realme,"₹ 7,490",,,"Sandy Gold, Aqua Blue, Night Sea","IPS LCD, 400 nits (typ)",,HSDPA 850 / 900 / 2100,720p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity"
