Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,Games,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
,,Flashlight,,,Up to 720 h,,,Yes,No,Yes,,,OrganizerMP3/WAV playerVoice memoPredictive text input,,,No,,Dual SIM (Mini-SIM),,,52.7 g (1.83 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 - SIM 1 & SIM 2,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),Up to 7 h 30 min,microSD (dedicated slot),,,,,,"2010, February. Released 2010, March",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x100.jpg,"1.8 inches, 10.2 cm2(~20.6% screen-to-body ratio)",Philips X100,,SMS,Black,"TFT, 256K colors","Yes, Photocall",Class 10,112.8 x 43.8 x 14.9 mm (4.44 x 1.72 x 0.59 in),,miniUSB 2.0,No,No,"Stereo FM radio, RDS",,,,,Removable Li-Ion battery,,,No
,,Handwriting recognition,,,Up to 100 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,,Mini-SIM,,1.3 MP,118 g (4.16 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 4 h,"microSD (dedicated slot), 2 GB included",,,,,,"2010, January. Released 2010, March",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-c702.jpg,"2.8 inches, 24.3 cm2(~39.1% screen-to-body ratio)",Philips C702,,"SMS(threaded view), MMS",Black,"TFT resistive touchscreen, 256K colors","1000 entries, Photocall",Class 10,103.8 x 59.8 x 14.5 mm (4.09 x 2.35 x 0.57 in),2.5MB,miniUSB 2.0,No,"GPS, A-GPS",No,,,,176x144@15fps,Removable Li-Ion 1080 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,No,,,Up to 1200 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,,,,No,,Mini-SIM,,"5 MP, AF",140 g (4.94 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 12 h,microSDHC (dedicated slot),,,,,,"2010, January. Released 2010, March",,GSM,MP3/WAV/AAC+/WMA playerMP4/H.264 playerVoice memoOrganizerPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x603.jpg,"2.4 inches, 17.8 cm2(~31.5% screen-to-body ratio)",Philips X603,,"SMS(threaded view), MMS, Email",Black,"TFT resistive touchscreen, 256K colors","1000 entries, Photocall",Class 10,112 x 50.5 x 15.5 mm (4.41 x 1.99 x 0.61 in),50MB,miniUSB 2.0,Class 10,No,"Stereo FM radio, RDS",,,,480p@15fps,Removable Li-Po 1530 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,CDMA 800 / 1900,,Yes,Up to 180 h,,Microsoft Windows Mobile 6.5 Professional,Yes,"2.1, A2DP",,,,MP3/WAV/WMA/AAC+ playerMP4/WMV/H.263 playerOrganizerPocket OfficeVoice memoPredictive text input,,,Yes,,Mini-SIM,,"5 MP, AF",129 g (4.55 oz),,,Discontinued,Wi-Fi 802.11 b/g,,,GSM 900 / 1800,,"WAP 2.0/xHTML, HTML","480 x 800 pixels, 5:3 ratio (~292 ppi density)",Up to 4 h 30 min,"microSDHC (dedicated slot), 4 GB included",,,"EV-DO Rev.0, 153.2 Kbps",,,"2009, December. Released 2010, March",,GSM / CDMA / EVDO,Handwriting recognition,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-d908-new.jpg,"3.2 inches, 29.1 cm2(~46.7% screen-to-body ratio)",Philips D908,,,Titanium Gray,"TFT resistive touchscreen, 256K colors (65K effective)",,,111 x 56.2 x 14.9 mm (4.37 x 2.21 x 0.59 in),"128MB RAM, 256MB ROM",2.0,,"GPS, A-GPS",No,CDMA2000 1xEV-DO,,,480p@30fps,Removable Li-Ion 1380 mAh battery,,Accelerometer,
LED flash,,GSM 900 / 1800 - SIM 2,,,Up to 720 h,,,Yes,"2.0, A2DP",Yes,,,No,,MP3/WAV/WMA playerMP4/H.264 playerOrganizerVoice memoPredictive text input,No,,Dual SIM (Mini-SIM),,"5 MP, AF",136.5 g (4.80 oz),,"30 dialed, 30 received, 30 missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900 - SIM 1,,HTML,"240 x 400 pixels, 5:3 ratio (~155 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,,,,"2009, November. Released 2010, November",,GSM,Handwriting recognition,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x806.jpg,"3.0 inches, 25.6 cm2(~46.7% screen-to-body ratio)",Philips Xenium X806,Up to 70 h,"SMS MMS, Email",Black,"TFT, 256K colors",1000 entries,Class 10,103.5 x 53 x 14 mm (4.07 x 2.09 x 0.55 in),47MB,miniUSB 2.0,Class 10,No,FM radio,,,,480p@15fps,Removable Li-Ion 1530 mAh battery,,,"Yes, MIDP 2.0"
,,No,,,Up to 744 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,,,,No,,Mini-SIM,,2 MP,101 g (3.56 oz),,Yes,Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 8 h 30 min,microSD (dedicated slot),,,,,,"2010, April. Released 2010, April",,GSM,MP3/WAV/AAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x312.jpg,"2.2 inches, 15.0 cm2(~29.0% screen-to-body ratio)",Philips X312,,"SMS(threaded view), MMS, Email",Grey,"TFT, 256K colors","1000 entries, Photocall",Class 12,111 x 46.6 x 14.2 mm (4.37 x 1.83 x 0.56 in),5MB,miniUSB 1.1,No,No,"FM radio, RDS",,,,176x144@15fps,Removable Li-Ion 1050 mAh battery,,,"Yes, MIDP 2.0"
,,No,,,Up to 720 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,,,,No,,Mini-SIM,,2 MP,-,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 8 h 30 min,microSD (dedicated slot),,,,,,"2009, November. Released 2009, December",,GSM,MP3/WAV/AAC player3gp playerVoice memoOrganizerPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x320.jpg,"2.2 inches, 15.0 cm2",Philips X320,,"SMS(threaded view), MMS, Email",Grey,"TFT, 256K colors","1000 entries, Photocall",Class 12,-,5MB,miniUSB 1.1,Class 10,No,"FM radio, RDS, built-in antenna, recording",,,,QCIF@15fps,Removable Li-Ion 1050 mAh battery,,,"Yes, MIDP 2.0"
,,Screensavers and wallpapers,,,Up to 850 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,MP3/WAV/AAC playerMP4/3gp playerVoice memoOrganizerPredictive text input,,,No,,Mini-SIM,,"3.15 MP, AF",133.9 (4.69 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 8 h,microSDHC (dedicated slot),,,,,,"2009, November. Released 2009, December",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x650.jpg,"2.4 inches, 17.8 cm2(~32.9% screen-to-body ratio)",Philips X650,,"SMS(threaded view), MMS, Email",Black,"TFT, 256K colors","1000 entries, Photocall",Class 10,104.4 x 52 x 16.8 mm (4.11 x 2.05 x 0.66 in),79MB,miniUSB 1.1,Class 10,No,"FM radio, RDS",,,,CIF@15fps,Removable Li-Ion 1050 mAh battery,,,"Yes, MIDP 2.0"
,,No,,,Up to 1440 h,,,Yes,"2.0, A2DP",Yes + downloadable,0.32 W/kg (head),,,About 140 EUR,,No,,Mini-SIM,,2 MP,129 g (4.55 oz),,"30 dialed, 30 received, 30 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,HTML,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 16 h,microSDHC (dedicated slot),,,,,,"2009, September. Released 2010, January",,GSM,MP3/AAC/WMA/WAV playerMP4/H.264 playerOrganizerChinese/English dictionaryVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x501-new.jpg,"2.2 inches, 15.0 cm2(~28.9% screen-to-body ratio)",Philips Xenium X501,Up to 40 h,"SMS, MMS, Email",Black,"TFT, 256K colors",2000 entries,Class 12,110 x 47.2 x 15.3 mm (4.33 x 1.86 x 0.60 in),60MB,miniUSB 2.0,Class 12,No,"Stereo FM radio, RDS",,,,CIF@15fps,Removable Li-Ion 1800 mAh battery,,,"Yes, MIDP 2.0"
,,No,,,Up to 720 h,,,"Yes, with stereo speakers","2.0, A2DP",Yes,,,,About 210 EUR,,Yes,,Mini-SIM,,"3.15 MP, AF",97 g (3.42 oz),,"30 dialed, 30 received, 30 missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,HTML,"240 x 400 pixels, 5:3 ratio (~167 ppi density)",Up to 8 h 30 min,microSDHC (dedicated slot),,,,,,"2009, November. Released 2010, February",,GSM,MP3/WAV/AAC+/WMA playerMP4/H.263/AVI/FLV/DivX playerOrganizerDocument viewerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-k700.jpg,"2.8 inches, 22.3 cm2(~42.5% screen-to-body ratio)",Philips Xenium K700,Up to 25 h,"SMS(threaded view), MMS, Email","Natural White, White Antarctic","TFT, 256K colors",1000 entries,Class 12,101 x 52 x 13.2 mm (3.98 x 2.05 x 0.52 in),48MB,miniUSB 2.0,Class 12,No,"Stereo FM radio, RDS",,,,QCIF@15fps,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
,,GSM 850 / 1900,,,Up to 200 h,,Android-based OPhone 1.0,Yes,"2.0, A2DP",,,,MP3/WAV/WMA playerMP4/H.264 playerOrganizerVoice memoPredictive text input,,,No,,Mini-SIM,,"3.15 MP, AF",120 g (4.23 oz),,,Discontinued,No,,,GSM 900 / 1800,,HTML,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",Up to 5 h,miniSD up to 8 GB,,,,,,"2009, October. Released 2009, Q4",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-v808-new.jpg,"3.2 inches, 30.5 cm2(~43.5% screen-to-body ratio)",Philips V808,,,Black,"TFT, 256K colors",,Class 10,115 x 61 x 14 mm (4.53 x 2.40 x 0.55 in),30MB,miniUSB 2.0,Class 10,GPS,No,,,,Yes,Removable Li-Ion 1000 mAh battery,,Accelerometer,
,,Screensavers and wallpapers,,,Up to 720 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,MP3/WAV/AAC playerMP4/3gp playerVoice memoOrganizerPredictive text input,,,No,,Mini-SIM,,"3.15 MP, AF",90 g (3.17 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio",Up to 8 h,microSD (dedicated slot),,,,,,"2009, September. Released 2009, Q4",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x550.jpg,,Philips X550,,"SMS(threaded view), MMS, Email",Black,"TFT, 256K colors","Yes, Photocall",Class 10,112 x 45 x 11.7 mm (4.41 x 1.77 x 0.46 in),,miniUSB 1.1,Class 10,No,"FM radio, RDS",,,,CIF@15fps,Removable Li-Po battery,,,"Yes, MIDP 2.0"
,,No,,,Up to 300 h,,,Yes,No,Yes + downloadable,,,,,,No,,Mini-SIM,,,68.8 g (2.40 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio (~129 ppi density)",Up to 3 h,No,,,,,,"2009, August. Released 2010, February",,GSM,OrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-e102.jpg,"1.4 inches, 6.3 cm2(~12.5% screen-to-body ratio)",Philips E102,,"SMS, MMS",Black,"CSTN, 65K colors","Yes, Photocall",Class 10,108 x 47 x 12.7 mm (4.25 x 1.85 x 0.5 in),,Proprietary,No,No,FM radio,,,,,Removable Li-Ion 650 mAh battery,,,No
LED flash,,Handwriting recognition,,,Up to 1080 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,"MP3/MP4/WAV/AAC playerDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerVoice memoPredictive text input",About 250 EUR,,No,,Mini-SIM,,"5 MP, AF",120 g (4.23 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 400 pixels (Wide QVGA), 5:3 ratio (~155 ppi density)",Up to 10 h,miniSD up to 8 GB,,,,,,"2009, July. Released 2009",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-x830.jpg,"3.0 inches, 25.6 cm2(~46.0% screen-to-body ratio)",Philips Xenium X830,Up to 70 h,"SMS(threaded view), MMS, Email",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",Class 12,105 x 53 x 15.5 mm (4.13 x 2.09 x 0.61 in),47MB,miniUSB 2.0,Class 10,No,"FM radio, RDS",,,,480p@15fps,Removable Li-Ion 1530 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
,,Handwriting recognition,,,Up to 100 h,,,Yes,1.2,Yes + downloadable,,,MP3/WAV playerMP4/H.263 playerOrganizerVoice memoPredictive text input,,,No,,Mini-SIM,,2 MP,118 g (4.16 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 4 h,"microSDHC (dedicated slot), 2 GB included",,,"Yes, 384 kbps",,,"2009, September. Released 2009, Q4",,GSM / CDMA2000,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-c700-new.jpg,"2.8 inches, 24.3 cm2(~39.0% screen-to-body ratio)",Philips C700,,"SMS, MMS",Black,"TFT resistive touchscreen, 256K colors","Yes, Photocall",,115 x 54.2 x 16.9 mm (4.53 x 2.13 x 0.67 in),2.5MB,miniUSB 2.0,,No,No,CDMA2000 1x,,,176x144@15fps,Removable Li-Ion 1030 mAh battery,,,"Yes, MIDP 2.0"
,,Handwriting recognition,,Yes,Up to 280 h,,,Yes,Yes,Yes,,,,,,No,,Mini-SIM,,2 MP,111.9 g (3.92 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 6 h,microSD (dedicated slot),,,"Yes, 384 kbps",,,"2009, July. Released 2009, Q3",,GSM / UMTS,MP3/MP4 playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-tm700.jpg,"2.2 inches, 15.0 cm2(~25.7% screen-to-body ratio)",Philips TM700,,"SMS, MMS",Black,"TFT, 65K colors",Yes,,112.4 x 51.8 x 16.5 mm (4.43 x 2.04 x 0.65 in),6MB,miniUSB 1.1,,No,No,UMTS 2100,,,QCIF@15fps,Removable Li-Ion 970 mAh battery,,,"Yes, MIDP 2.0"
,,Screensavers and wallpapers,,,Up to 1250 h,,,Yes,"2.0, A2DP",Yes + downloadable,,,MP3/WAV/AAC playerMP4 playerVoice memoOrganizerPredictive text input,,,No,,Mini-SIM,,3.15 MP,118.3 g (4.16 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 12 h,microSDHC (dedicated slot),,,,,,"2009, July. Released 2009",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x630.jpg,"2.4 inches, 17.8 cm2(~32.9% screen-to-body ratio)",Philips X630,,"SMS, MMS",Black,"TFT, 256K colors",Yes,Class 10,111 x 48.9 x 15.1 mm (4.37 x 1.93 x 0.59 in),80MB,miniUSB 1.1,Class 10,No,FM radio,,,,CIF@15fps,Removable Li-Po 1530 mAh battery,,,"Yes, MIDP 2.0"
,,CDMA 800 / 1900,,,Up to 100 h,,,Yes,1.2,Yes,,,MP3/MP4 playerOrganizerVoice memoPredictive text input,,,No,,Mini-SIM,,1.3 MP,118 g (4.16 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 4 h,microSD (dedicated slot),,,,,,"2009, June. Released 2009, Q3",,GSM / CDMA,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-c600.jpg,"2.4 inches, 17.8 cm2(~28.6% screen-to-body ratio)",Philips C600,,"SMS, MMS",Black,"TFT, 256K colors",Yes,Class 10,115 x 54.2 x 16.6 mm (4.53 x 2.13 x 0.65 in),2.5MB,miniUSB 1.1,Class 10,No,No,,,,QCIF@15fps,Removable Li-Ion 1350 mAh battery,,,"Yes, MIDP 2.0"
,,No,,,Up to 520 h,,,Yes,"2.0, A2DP",Yes,,,,,,No,,Mini-SIM,,2 MP,108.5 g (3.81 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels (~141 ppi density),Up to 6 h 30 min,microSDHC (dedicated slot),,,HSPA 3.6/0.384 Mbps,,,"2009, June. Released 2009, Q3",,GSM / HSPA,MP3/MP4/WAV/MP3/AAC playerOrganizerVoice memoPredictive text input,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-w186.jpg,"2.0 inches, 12.6 cm2(~25.2% screen-to-body ratio)",Philips W186,,"SMS, MMS, Email",Black,"TFT, 256K colors",Yes,,110 x 45.5 x 14 mm (4.33 x 1.79 x 0.55 in),150MB,miniUSB 2.0,,No,Stereo FM radio,HSDPA 850 / 2100,,,320p@15fps,Removable Li-Ion 1050 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,Handwriting recognition,,Yes,Up to 720 h,,,Yes,"2.0, A2DP","Yes, incl. motion-based + downloadable",,,,About 210 EUR,,No,,Mini-SIM,,"3.15 MP, AF",136 g (4.80 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 400 pixels (Wide QVGA), 5:3 ratio (~167 ppi density)",Up to 8 h 30 min,microSDHC (dedicated slot),,,,,,"2009, March. Released 2009",,GSM,"MP3/MP4/WAV/MP3/AAC playerDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerVoice memo",,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-xenium-x810.jpg,"2.8 inches, 22.3 cm2(~51.2% screen-to-body ratio)",Philips X810,,"SMS, MMS, Email",Black,"TFT resistive touchscreen, 256K colors",Yes,Class 10,103.5 x 42.1 x 13.5 mm (4.07 x 1.66 x 0.53 in),64MB 512MB RAM 1GB ROM,miniUSB 1.1,Class 10,No,No,,,,CIF@15fps,Removable Li-Ion 1050 mAh battery,,Accelerometer,"Yes, MIDP 2.0"
,,No,,,Up to 740 h,,,Yes,"2.0, A2DP",Yes,1.04 W/kg (head),,,About 160 EUR,,No,,Mini-SIM,,2 MP,,,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,WAP 2.0/HTML,176 x 220 pixels,Up to 8 h,microSD (dedicated slot),,,,,,"2009, April",,GSM,Extra standby/talk time with any AAA batteryMP3/WAV/AAC/MP4 playerCalendarLunar calendarCountdown timerInternational converterEuro converterOrganizerVoice memo,1.01 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x520.jpg,,Philips Xenium X520,,"SMS, EMS, MMS, Email","Silver, Black, Red","TFT, 256K colors","Yes, Photocall",Class 10,111 x 45 x 16.6 mm (4.37 x 1.77 x 0.65 in),,miniUSB,Class 10,No,"FM radio, RDS",,,,SQCIF@15fps,Removable Li-Ion 1050 mAh battery,,,"Yes, MIDP 2.0"
,,External monochrome display (64 x 64 pixels)Screensavers and wallpapers,,,Up to 720 h,,,Yes,"2.0, A2DP",Yes,0.28 W/kg (head),,MP3/WAV/AAC/MP4 playerOrganizerVoice memoConversation recordingEuro converterInternational converterStopwatchCountdown timerFemale calendarPredictive text input,About 180 EUR,,No,,Mini-SIM,,2 MP,110 g (3.88 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels (~128 ppi density),Up to 8 h 30 min,microSD (dedicated slot),,,,,,"2009, April",,GSM,No,0.39 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x600.jpg,"2.2 inches, 15.2 cm2(~30.3% screen-to-body ratio)",Philips Xenium X600,,"SMS, MMS, Email",Phantom Black,"TFT, 256K colors","Yes, Photocall",Class 10,96.8 x 52 x 16.5 mm (3.81 x 2.05 x 0.65 in),10MB,miniUSB,Class 10,No,"FM radio, RDS",,,,QCIF@15fps,Removable Li-Ion 1100 mAh battery,,,"Yes, MIDP 2.0"
,,Screensavers and wallpapers,,,Up to 500 h,,,Yes,"2.0, A2DP",Yes,0.99 W/kg (head),,MP3/WAV/AAC playerOrganizerVoice memoPredictive text input,,,No,,Mini-SIM,,VGA,71 g (2.50 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,128 x 160 pixels (~114 ppi density),Up to 5 h,microSD (dedicated slot),,,,,,"2009, February",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-e210.jpg,"1.8 inches, 10.2 cm2(~22.1% screen-to-body ratio)",Philips E210,,"SMS, MMS","Black, Gray","CSTN, 65K colors",Yes,Class 10,104.7 x 44 x 13.9 mm (4.12 x 1.73 x 0.55 in),2MB,miniUSB,No,No,FM radio,,,,SQCIF@15fps,Removable Li-Po 820 mAh battery,,,"Yes, MIDP 2.0"
,,External 2-inch 256K TFT display (176 x 220 pixels)4-way navigation keyScreensavers and wallpapers,,,Up to 720 h,,,Yes,"2.0, A2DP",Yes,0.22 W/kg (head),,MP3/WAV/AAC/MP4 playerOrganizerVoice memo,,,No,,Mini-SIM,,"3.15 MP, AF",89.4 (3.14 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 7 h 30 min,microSDHC (dedicated slot),,,,,,"2009, April. Released 2009",,GSM,No,0.83 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x700.jpg,"2.4 inches, 17.8 cm2(~32.1% screen-to-body ratio)",Philips Xenium X700,,"SMS, MMS, Email, Instant Messaging","Phantom Black, Red","TFT, 256K colors","Yes, Photocall",Class 10,103 x 54 x 15 mm (4.06 x 2.13 x 0.59 in),47MB,miniUSB,Class 10,No,"Stereo FM radio, RDS",,,,CIF@15fps,Removable Li-Ion 980 mAh battery,,,"Yes, MIDP 2.0"
,,External 1-inch monochrome OLED display,,,Up to 850 h,,,Yes,"2.0, A2DP",Yes,,,MP3/WAV/AAC/MP4 playerOrganizerVoice memoPredictive text input,About 160 EUR,,No,,Mini-SIM,,2 MP,95 g (3.35 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,"WAP 2.0/xHTML, HTML","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 8 h,microSD (dedicated slot),,,,,,"2009, March. Released 2009",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x530.jpg,"2.2 inches, 15.0 cm2(~32.1% screen-to-body ratio)",Philips Xenium X530,,"SMS, MMS, Email, IM","Phantom Black, Red","TFT, 256K colors","Yes, Photocall",Class 10,99.1 x 47.1 x 18.7 mm (3.90 x 1.85 x 0.74 in),32MB,miniUSB,Class 10,No,"Stereo FM radio, RDS",,,,320p@15fps,Removable Li-Ion 950 mAh battery,,,"Yes, MIDP 2.0"
,,GSM 900 / 1800 - SIM 2,,,Up to 720 h,,,Yes,"2.0, A2DP",3 games + downloadable,0.78 W/kg (head),,Photo editorMP3/WAV/AAC playerMP4/3gp playerVoice memoOrganizerPredictive text input,About 180 EUR,,No,,Dual SIM (Mini-SIM),,"3.15 MP, AF",114 g (4.02 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900 - SIM 1,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 8 h 30 min,microSDHC (dedicated slot),,,,,,"2009, January. Released 2009",,GSM,No,1.09 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x710.jpg,"2.4 inches, 17.8 cm2(~32.2% screen-to-body ratio)",Philips X710,,"SMS, MMS, Email",Black,"TFT, 256K colors",Yes,Class 10,113 x 49 x 16 mm (4.45 x 1.93 x 0.63 in),20MB,miniUSB 1.1,Class 10,No,FM radio,,,,Yes,Removable Li-Po 1900 mAh battery,,,"Yes, MIDP 2.0"
,,Screensavers and wallpapers,,,Up to 1200 h,,,Yes,"2.0, A2DP",2 games + downloadable,0.40 W/kg (head),,MP3/WAV/AAC playerVoice memoOrganizerPredictive text input,About 190 EUR,,No,,Mini-SIM,,3.15 MP,120 g (4.23 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 850 / 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",Up to 12 h,microSDHC (dedicated slot),,,,,,"2009, January. Released 2009",,GSM,No,1.09 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-x620.jpg,"2.4 inches, 17.8 cm2(~32.4% screen-to-body ratio)",Philips X620,,"SMS, MMS",Black,"TFT, 256K colors",Yes,Class 10,110 x 50 x 15 mm (4.33 x 1.97 x 0.59 in),80MB,miniUSB 1.1,Class 10,No,FM radio,,,,CIF@15fps,Removable Li-Ion 1530 mAh battery,,,"Yes, MIDP 2.0"
,,4-way navigation key,,,Up to 240 h,,,Yes,No,No,0.60 W/kg (head),,Multi-person SMSOrganizerPredictive text input,About 50 EUR,,No,,Mini-SIM,,,53 g (1.87 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,No,"128 x 128 pixels, 1:1 ratio (~123 ppi density)",Up to 3 h,No,,,,,,"2008, October. Released 2008",,GSM,No,0.87 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-193.jpg,"1.47 inches, 7.0 cm2(~14.7% screen-to-body ratio)",Philips 193,,SMS,Black,"CSTN, 65K colors",Yes,Class 10,104.5 x 45.5 x 12.8 mm (4.11 x 1.79 x 0.50 in),,No,No,No,FM radio,,,,,Removable Li-Ion 650 mAh battery,,,No
